SurgeryType,Category,Question,Alternate_Questions,Answer
lumbar fusion,About the Procedure,"What does ""minimally invasive"" actually mean?",- How is this different from regular open surgery? <br>- Does minimally invasive mean smaller scars? <br>- Is this less painful than the old way of doing it? <br>- What are the benefits of a minimally invasive approach? <br>- How do you do the surgery through a small cut?,"Minimally invasive means we can perform the surgery through smaller incisions by gently separating the muscles instead of cutting through them. This approach often leads to less pain after surgery, a shorter hospital stay, and a faster overall recovery compared to traditional open surgery."
lumbar fusion,About the Procedure,"What is a ""cage"" that you put in my spine?",- What is the spacer you use made of? <br>- Why do you put a cage between the bones? <br>- Is the cage made of metal or plastic? <br>- What does the cage do? <br>- Is the cage permanent?,"The ""cage"" is a medical-grade spacer that we place into the empty disc space after we've removed the damaged disc. It's designed to hold the vertebrae at their proper height and is filled with bone graft material to help the bones fuse together. It becomes a permanent part of your spine's structure."
lumbar fusion,The Surgery,Why do you sometimes go through the stomach or side instead of the back?,- What are the advantages of going through the front? <br>- Is it better to have the surgery from the side? <br>- Why not just make the cut on my back? <br>- What determines which way you do the surgery? <br>- Is an ALIF or LLIF better than a TLIF?,"Approaching the spine from the front (anterior) or side (lateral) allows us to use a much larger cage, or spacer, which creates a more stable environment for the bones to fuse. It also avoids disrupting the large, important muscles in the back, which can lead to a quicker recovery. I choose the safest and most effective approach based on your specific anatomy."
lumbar fusion,The Surgery,What is BMP and is it safe?,- Can you tell me more about the bone protein? <br>- Is using a genetically engineered protein risky? <br>- Why do you use BMP instead of my own bone? <br>- What are the side effects of BMP? <br>- Is BMP approved for this surgery?,"BMP, or Bone Morphogenetic Protein, is a powerful, genetically engineered protein that stimulates your body to grow its own bone, which helps create a more reliable fusion. It is very safe and effective, and it avoids the need for a separate incision to harvest bone from your pelvis, which can be quite painful."
lumbar fusion,The Surgery,Will I have any tubes in me when I wake up?,- What is the tube in my bladder for? <br>- Will I have a catheter? <br>- Why do I have drains coming out of my back/side? <br>- Will I have an IV? <br>- How long do the tubes stay in?,"Yes, when you wake up, you will have a few tubes. You'll have an IV in your arm for fluids and medication, a small tube in your bladder called a Foley catheter to drain urine, and possibly a drain near your incision to collect excess fluid. These are all temporary and are usually removed within a day or two."
lumbar fusion,Risks & Complications,Why do my legs feel weak or numb right after the surgery?,- Is it normal for my leg to feel funny after surgery? <br>- Did the surgery make my nerve pain worse? <br>- Why is my foot numb now? <br>- How long will this weird feeling in my leg last? <br>- Is temporary nerve irritation common?,"It is quite common to have some temporary numbness, tingling, or even weakness in your legs after surgery. This can happen from the positioning during the procedure or from the nerves being manipulated as we relieve the pressure on them. These sensations almost always resolve over the next few weeks as the inflammation goes down."
lumbar fusion,Risks & Complications,What is the risk of the hardware breaking?,- Can the rods or screws break later on? <br>- What happens if a screw comes loose? <br>- How strong is the metal you put in? <br>- Is hardware failure common? <br>- What would cause a rod to break?,"The titanium hardware we use is extremely strong. The biggest risk for a rod breaking is if the bones fail to fuse together (a ""non-union""). In that case, the rod is acting like a paperclip being bent back and forth and can eventually break. This is why achieving a solid fusion is so critical, and why you must not smoke."
lumbar fusion,Preparation,What happens if I get a cold or sick right before my surgery?,- Should I call you if I get sick? <br>- Can you do the surgery if I have a fever? <br>- What if I get the flu before my operation date? <br>- Is it safe to have anesthesia if I'm sick? <br>- Will my surgery be canceled if I have a cough?,"You must call our office immediately if you develop any signs of illness, such as a fever, cough, or sore throat. It is not safe to have general anesthesia when you are sick. In most cases, we would need to postpone your surgery until you are fully recovered to ensure your safety."
lumbar fusion,Preparation,Why do I have to do a bowel prep for some fusions?,- Why do I need to clean out my bowels? <br>- Is the bowel prep like a colonoscopy prep? <br>- What is the purpose of the bowel prep? <br>- Does everyone have to do this? <br>- How do I do the bowel prep?,"For surgeries where we approach from the front (anterior), we need your intestines to be as empty as possible so the vascular surgeon can safely move them aside to give me a clear view of your spine. It is a critical safety step for that specific surgical approach."
lumbar fusion,Hospital Stay,When can my family visit me after the surgery?,- What are the visiting hours? <br>- Can my family be with me in the recovery room? <br>- How long until my family can see me? <br>- Will my family get updates during the surgery? <br>- When can I have visitors?,"Your family will not be able to see you in the main recovery room, but they can visit once you are settled in your hospital room. I will call them as soon as the procedure is finished to let them know how everything went."
lumbar fusion,Hospital Stay,What if I have to go to the bathroom in the hospital?,- How do I use the bathroom if I can't get up? <br>- Will I have a bedpan? <br>- How does the catheter work? <br>- What if I can't get to the toilet? <br>- How will I go to the bathroom?,"For the first day or so, you will have a Foley catheter in your bladder, so you won't have to worry about urinating. The nurses will assist you with a bedpan for bowel movements until you are strong enough to get up and walk to the bathroom with the help of a physical therapist or nurse."
lumbar fusion,After Surgery,What should I do if I get constipated from the pain medicine?,- Is it normal to get backed up from the pain pills? <br>- What can I take for constipation? <br>- How can I prevent constipation? <br>- What if I haven't had a bowel movement in days? <br>- Are the pain meds going to cause constipation?,"Yes, constipation is a very common side effect of narcotic pain medication. It is essential that you take an over-the-counter stool softener every day that you are taking the narcotic. Drinking plenty of water and walking are also very important to keep your bowels moving."
lumbar fusion,After Surgery,Why do I feel so tired all the time?,- Is it normal to be exhausted after this surgery? <br>- How long will I feel this tired? <br>- Why do I have no energy? <br>- When will my energy level come back? <br>- Is fatigue a normal part of recovery?,"It is completely normal to feel weak and tired for several weeks after a major surgery like this. Your body is using a tremendous amount of energy to heal. Be patient with yourself, get plenty of rest, and your energy will gradually return as you recover."
lumbar fusion,After Surgery,Will I have muscle spasms in my back?,- Is it normal for my back muscles to jump or cramp? <br>- What can I do for muscle spasms? <br>- Why are my back muscles so tight? <br>- How long will the muscle spasms last? <br>- Will you give me medicine for spasms?,"Yes, muscle spasms are very common after back surgery. The muscles are reacting to the procedure. We will give you a prescription for a muscle relaxant medication to help with this, and it will get better as you heal."
lumbar fusion,Activity & Recovery,Can I take care of my pets when I get home?,- Will I be able to walk my dog? <br>- Can I bend over to feed my cat? <br>- Is it okay to pick up my small dog? <br>- What are the rules about pets after surgery? <br>- How do I manage my pets during recovery?,"You will need help with your pets. You cannot walk a dog on a leash because they could pull and cause you to twist or fall. You cannot bend over to fill food and water bowls, and you cannot lift any pet, even a small one, that weighs more than 10 pounds."
lumbar fusion,Activity & Recovery,What if I live alone?,- Can I recover from this surgery by myself? <br>- Is it safe to go home if I live alone? <br>- What kind of help will I need if I don't have family nearby? <br>- Can I hire a caregiver? <br>- What happens if I have no one to help me at home?,"It is not safe to go home alone right after this surgery. You will need significant help for at least the first two weeks. If you do not have family or friends who can stay with you, we will arrange for you to go to a short-term inpatient rehabilitation facility to ensure you have the care and support you need to recover safely."
lumbar fusion,Activity & Recovery,How do I use the toilet if I can't bend?,- Will I need a special toilet seat? <br>- How do I sit down on the toilet? <br>- Is it hard to use the bathroom after surgery? <br>- What is a raised toilet seat? <br>- Can I use a regular toilet?,Standard toilets can be too low and difficult to use. We often recommend getting a raised toilet seat or toilet rails for your home. This makes it much easier and safer to sit down and stand up without bending your back. The occupational therapist will discuss this with you.
lumbar fusion,Activity & Recovery,When can I sleep in my own bed?,- Do I have to sleep in a recliner? <br>- Is it okay to sleep in my bed right away? <br>- What's the best place to sleep when I get home? <br>- Can I sleep on my side? <br>- What are the rules for sleeping?,"You can sleep in your bed as soon as you get home, as long as you use the ""log roll"" technique to get in and out of it. However, many people find it more comfortable to sleep in a recliner for the first week or two. The most important thing is that you are comfortable and getting rest."
lumbar fusion,Activity & Recovery,How do I get in and out of a car?,- What's the right way to get into a car? <br>- Is there a special technique for car travel? <br>- How do I avoid bending when getting in a car? <br>- Can I ride in a small car? <br>- What are the instructions for riding in a car?,"You should use a mid-size or larger car. To get in, back up to the passenger seat, reach back for support, and lower yourself down without bending your back. Then, keep your knees together and swing your legs into the car. Reverse the process to get out. We recommend reclining the seat slightly for comfort."
lumbar fusion,Long-Term Outlook,"Will I have a ""flat back"" after this surgery?","- Does the surgery change the curve in my lower back? <br>- Will my back look different? <br>- What is ""flatback syndrome""? <br>- Do you restore the natural curve of the spine? <br>- Will my posture be normal?","One of the key goals of modern lumbar fusion is to restore the normal, gentle sway (lordosis) of your lower back, not to make it flat. By using specially shaped cages and contouring the rods, we work to recreate your natural spinal alignment, which is critical for a good long-term outcome."
lumbar fusion,Long-Term Outlook,Will I be able to feel the weather in my back?,- Can the hardware make my back ache when it rains? <br>- Is it true that you can feel storms in your joints? <br>- Does the metal get cold in the winter? <br>- Will my back be sensitive to weather changes? <br>- Can the implants cause pain in cold weather?,"Some patients with any type of implant, whether it's in their spine or their knee, report that they feel more achy when the weather changes. The hardware itself doesn't get cold, but changes in barometric pressure can affect the tissues around it. However, many patients don't notice this at all."
lumbar fusion,Long-Term Outlook,Can I get another surgery if this one doesn't work?,- What if the fusion doesn't take away my pain? <br>- Is a revision surgery possible? <br>- What are the options if I'm still in pain a year later? <br>- Can you re-do a fusion? <br>- What is the plan if the surgery fails?,"Our goal is to get it right the first time, and the vast majority of patients do very well. In the rare event that the bones don't fuse or you continue to have significant pain, a revision or second surgery can be an option, but it is a complex decision that we would explore carefully after a full year of recovery."
lumbar fusion,Follow-Up,Why do I need to be followed for so long?,- Why do I need to come back for a year? <br>- What is the purpose of all the follow-up visits? <br>- Can I just stop coming if I feel good? <br>- What is the long-term monitoring plan? <br>- How many appointments will I have?,A fusion takes a long time to become solid—up to a year or more. It is very important that we monitor the healing process with x-rays to make sure the bones are growing together properly and the hardware is in a good position. These follow-up visits are essential to ensuring your long-term success.
lumbar fusion,Follow-Up,What if I have a problem after hours or on the weekend?,- Who do I call if I have an emergency? <br>- Is there a doctor on call? <br>- What do I do if I have a question at night? <br>- How do I get in touch with you after hours? <br>- What is the emergency contact process?,"Our office has a physician on call 24 hours a day, 7 days a week. If you have an urgent concern after normal business hours, you can call our main office number, and the answering service will have the on-call doctor get in touch with you. For a true medical emergency, you should always call 911."
lumbar fusion,Follow-Up,What are the warning signs I should call about right away?,- What symptoms are considered an emergency? <br>- When should I call your office? <br>- What are the red flags I need to watch for? <br>- What kind of problems should I report immediately? <br>- What are the signs of a serious complication?,"You should call us immediately if you develop a fever higher than 101 degrees, have drainage from your incision that is increasing or looks like pus, experience significant new redness or swelling around the incision, or have any new, worsening numbness or weakness in your legs."
cervical disc replacement,About the Procedure,What is a cervical disc replacement?,- Can you explain what a disc arthroplasty is? <br>- How is this different from a fusion? <br>- What does it mean to get an artificial disc? <br>- Is this the surgery that preserves motion? <br>- Why am I getting a replacement instead of a fusion?,"A cervical disc replacement, or arthroplasty, is a surgery where we remove the damaged, painful disc in your neck and replace it with an artificial prosthesis. The key benefit is that the artificial disc is designed to move and function like your natural disc, which preserves your neck's motion at that level."
cervical disc replacement,About the Procedure,Why do I need this surgery?,- What condition does a disc replacement treat? <br>- Why is this the right surgery for me? <br>- How will an artificial disc help my symptoms? <br>- What is causing my neck and arm pain? <br>- Is this to fix a herniated disc in my neck?,"You are having this surgery because a damaged disc in your neck is pressing on your nerves or spinal cord. This is what's causing your symptoms, such as pain in the neck and arm, or numbness and weakness in your fingers. By removing the bad disc and replacing it, we relieve that pressure and stop the pain."
cervical disc replacement,About the Procedure,Am I a good candidate for a disc replacement?,- Why can some people get a replacement and others need a fusion? <br>- What makes someone eligible for an artificial disc? <br>- Does everyone with a bad disc get this surgery? <br>- Are there reasons I couldn't have a replacement? <br>- Who qualifies for this procedure?,"A disc replacement is an excellent option for many patients, but it's not for everyone. It's typically recommended for patients with a disc problem who do not have significant arthritis in the joints of their neck or major instability. I have determined from your specific condition and imaging that you are a great candidate for this motion-preserving procedure."
cervical disc replacement,About the Procedure,How is this different from a hip or knee replacement?,- Is this like the joint replacements my parents had? <br>- Is the technology similar to other joint replacements? <br>- What are the similarities to a knee replacement? <br>- Is it the same kind of implant? <br>- How does this compare to other arthroplasty surgeries?,"The concept is very similar. Just like in a hip or knee replacement, we are removing a worn-out, painful joint (your disc) and replacing it with an artificial implant that restores function. The goal in all these procedures is to relieve pain and restore motion."
cervical disc replacement,The Implant,What is the artificial disc made of?,- What materials are used in the implant? <br>- Is the implant plastic or metal? <br>- Can I have an allergic reaction to the disc? <br>- What is the composition of the artificial disc? <br>- Is there any metal in the replacement disc?,"The artificial discs we use are typically made of a combination of medical-grade metal alloys, such as cobalt-chromium or titanium, and a highly durable medical-grade plastic, similar to what is used in hip and knee replacements. These materials are very safe and biocompatible."
cervical disc replacement,The Implant,How long will the artificial disc last?,- Will I ever need to have the implant replaced? <br>- Is this a permanent solution? <br>- What is the lifespan of the artificial disc? <br>- Does the implant wear out over time? <br>- Is a second surgery to replace the implant common?,"The artificial discs are made of very durable materials and are designed to last for a very long time, likely for the rest of your life. The technology has been tested extensively to withstand the normal stresses of neck movement for many decades. Revision surgery for a worn-out disc is not expected."
cervical disc replacement,The Implant,How does the artificial disc stay in place?,- What keeps the implant from slipping? <br>- Is the disc attached with screws? <br>- How is the implant secured to the bone? <br>- What is the fixation method? <br>- Could the implant become dislodged?,"The surfaces of the implant that touch the vertebrae have a special porous coating. Your bone will naturally grow into this surface over the first few weeks, creating a strong, biological bond that holds it securely in place. The initial fit is very snug, and this bone growth makes it permanent."
cervical disc replacement,The Implant,Will I be able to feel the implant moving?,- Is the motion of the artificial disc noticeable? <br>- Will my neck feel different when I move it? <br>- Can you sense the implant working? <br>- Does it feel mechanical? <br>- Will it click or make noise?,"No, you will not be able to feel the implant moving. The motion is designed to be smooth and to mimic your natural disc. Your neck should simply feel more comfortable and less painful as you move it. The implants do not click or make noise."
cervical disc replacement,The Surgery,How is the surgery performed?,- Can you walk me through the procedure? <br>- What is the surgical process for a disc replacement? <br>- Where do you make the incision? <br>- How do you get to the spine? <br>- What happens in the operating room?,"The surgery is done through a small incision on the front of your neck, in a natural skin crease to minimize the scar. We gently move the neck muscles and structures aside to get to the spine. Then, I remove the damaged disc and place the artificial disc in its place. The whole procedure is done very carefully with your safety as our top priority."
cervical disc replacement,The Surgery,How long does the operation take?,- How many hours will I be in surgery? <br>- What is the duration of a disc replacement? <br>- Is it a long surgery? <br>- How much time does the procedure itself require? <br>- What is the estimated surgical time?,"The surgery itself is quite efficient. From the first incision to closing, it typically takes about 60 to 90 minutes for a single-level disc replacement."
cervical disc replacement,Risks & Complications,What are the main risks of this surgery?,- Is cervical disc replacement dangerous? <br>- What are the most common complications? <br>- What can go wrong with this operation? <br>- What are the potential side effects? <br>- What should I be most concerned about?,"While this is a very safe procedure, all surgeries have risks. The most common issues are temporary, like a sore throat or hoarseness. More serious complications, like infection, bleeding, or nerve injury, are incredibly rare in our practice. There is also a small risk the implant could shift, but we take every precaution to prevent this."
cervical disc replacement,Risks & Complications,What happens if the implant moves or gets displaced?,- Could the artificial disc slip out of place? <br>- Is it possible for the implant to shift? <br>- What is the risk of implant migration? <br>- How do you fix a displaced implant? <br>- What would cause the disc to move?,"The risk of the implant moving is very low. It is sized and placed to fit very securely, and your bone grows into it to lock it in place. In the extremely rare event that it did shift and cause a problem, a second surgery might be needed to fix it, which would likely involve converting it to a fusion."
cervical disc replacement,Risks & Complications,Is it true I could have trouble singing high notes?,- Can the surgery affect my singing voice? <br>- Why is damage to the laryngeal nerve a risk? <br>- Could my voice change permanently? <br>- What causes the hoarseness after surgery? <br>- Is injury to the vocal cords common?,"There is a nerve called the superior laryngeal nerve that controls your ability to hit high notes. It is near the surgical area and can be stretched or irritated, which is usually temporary. The risk of permanent damage to this nerve or the main vocal cord nerve is very rare, but we are obligated to discuss it with you."
cervical disc replacement,Risks & Complications,How is this different from the risks of a fusion?,- Is a replacement safer than a fusion? <br>- Are the complications different for arthroplasty? <br>- Does this surgery have fewer risks than a fusion? <br>- What are the pros and cons of replacement vs. fusion? <br>- Why choose this over a fusion?,"Many of the immediate surgical risks are the same, since the approach to the spine is identical. The main difference is in the long-term. A disc replacement avoids the risks associated with fusion, such as the bones failing to heal (""pseudoarthrosis"") and may reduce the risk of causing problems at the adjacent levels later on."
cervical disc replacement,Preparation,Do I need to stop taking anti-inflammatory medicine before this surgery?,- Can I take Advil or Motrin before a disc replacement? <br>- Why do I have to stop taking NSAIDs? <br>- Which pain medicines are okay before surgery? <br>- Is it okay to take aspirin? <br>- What about my arthritis medicine?,"Yes, it is very important. You must stop all non-steroidal anti-inflammatory drugs (NSAIDs) like Ibuprofen, Aleve, and Aspirin for one to two weeks before surgery. These medications can increase bleeding during the procedure. Tylenol is safe to continue taking."
cervical disc replacement,Preparation,What happens on the day of surgery?,- What is the process when I arrive at the hospital? <br>- Can you walk me through the morning of the operation? <br>- What should I expect before I go to the operating room? <br>- Who will I meet on surgery day? <br>- What is the pre-op process?,"You will arrive about two hours before your scheduled surgery time. The nursing and anesthesia teams will get you ready, which includes starting an IV. You will meet with the anesthesiologist to discuss their plan, and I will also see you to answer any last-minute questions before we go to the operating room."
cervical disc replacement,Hospital Stay,How long will I be in the hospital?,- Is this an outpatient procedure? <br>- Will I go home the same day? <br>- What is the average hospital stay? <br>- Do I have to stay overnight? <br>- When am I discharged?,"Most patients who have a cervical disc replacement go home the same day or the morning after the surgery. As long as your pain is well-controlled and you are medically stable, you can safely recover in the comfort of your own home."
cervical disc replacement,Hospital Stay,Will I have a drain in my neck after surgery?,- What is the purpose of the drain? <br>- How long does the drain stay in? <br>- Is the tube in my neck painful to remove? <br>- Why is there a drain coming from the incision? <br>- Does everyone get a drain?,"You may have a small, temporary drain coming from your incision. This is to remove any excess fluid from under the skin, which helps reduce swelling. If you have one, it is typically removed without any pain before you leave the hospital."
cervical disc replacement,After Surgery & Recovery,Will I need to wear a neck brace?,- Do I have to wear a collar after a disc replacement? <br>- For how long do I need a brace? <br>- Why don't I need a hard collar like with a fusion? <br>- Is a soft collar necessary? <br>- What are the rules for the brace?,"We will provide you with a soft cervical collar, but it is purely for your comfort. Because the implant is designed to allow motion and is stable right away, you do not need to wear the collar. You can remove it whenever you like. This is a major advantage over fusion surgery."
cervical disc replacement,After Surgery & Recovery,What are my activity restrictions?,- What am I not allowed to do after surgery? <br>- How careful do I need to be with my neck? <br>- What are the main limitations? <br>- Are there things I should avoid doing? <br>- Can you explain the post-op restrictions?,"The main restrictions are to avoid any aggressive or extreme neck motions and to avoid lifting anything heavy, generally more than 15 pounds, for the first few weeks. We want the implant to settle in and for your bone to grow into it. Otherwise, walking is your best activity."
cervical disc replacement,After Surgery & Recovery,How soon can I return to work?,- How much time do I need off from my job? <br>- What is the recovery time before I can work? <br>- When can I go back to my desk job? <br>- How long is the recovery for a physical job? <br>- When am I cleared to work?,"The return-to-work time is generally faster than with a fusion. Many people with desk jobs can return within one to two weeks. If you have a more physically demanding job, you may need four to six weeks. We will discuss your specific situation."
cervical disc replacement,After Surgery & Recovery,When can I drive a car?,- How long until I am allowed to drive? <br>- Is it safe to drive after a neck replacement? <br>- What are the rules for driving? <br>- How soon can I get behind the wheel? <br>- When will I be cleared to drive?,"You should not drive as long as you are taking narcotic pain medications. Because this surgery preserves motion, you will be able to turn your head much sooner than with a fusion. Most patients are able to drive within a week or two, as long as they feel safe and comfortable."
cervical disc replacement,After Surgery & Recovery,What is the best way to sleep?,- What sleeping position is best after neck surgery? <br>- Can I sleep on my side or stomach? <br>- Do I need to sleep in a recliner? <br>- How can I sleep comfortably? <br>- Are there any rules for sleeping?,"For the first few days, sleeping with your head slightly elevated on a couple of pillows or in a recliner can help reduce swelling. After that, you can sleep on your back or your side, whichever is most comfortable for you."
cervical disc replacement,Symptom Recovery,How quickly will my arm pain and numbness go away?,- Will I wake up and feel better immediately? <br>- When will the pain in my arm stop? <br>- How long does it take for the numbness in my fingers to resolve? <br>- Is the relief of symptoms immediate? <br>- Why do I still have some tingling?,"Most patients experience immediate relief from their arm pain. Numbness and tingling, however, can take longer to resolve. Nerves heal very slowly, so it may take several weeks or even months for those symptoms to fully disappear. It's important to be patient with the healing process."
cervical disc replacement,Long-Term Outlook,Can I return to sports and other activities?,- Will I be able to play golf or tennis again? <br>- When can I go back to the gym? <br>- Are there any permanent restrictions on my activity? <br>- How long until I can exercise normally? <br>- Will I be able to run again?,"Yes, a major benefit of disc replacement is a faster and more complete return to activities. Once the initial healing period is over, usually around 6-12 weeks, most patients can return to all of their previous activities, including sports, without restrictions."
cervical disc replacement,Follow-Up,How do you check on the artificial disc?,- Will I need x-rays after the surgery? <br>- How do you make sure the implant is working correctly? <br>- What happens at my follow-up appointments? <br>- Do I need an MRI to check the disc? <br>- How is my progress monitored?,"We will take x-rays at your follow-up appointments. These images allow us to check the position of the implant and, very importantly, to see that it is maintaining motion. These ""flexion-extension"" x-rays confirm that the surgery was a success."
cervical disc replacement,About the Procedure,How big will the scar on my neck be?,- Will I have a big cut on my neck? <br>- What will the scar look like? <br>- Is the incision very noticeable? <br>- How do you hide the scar? <br>- Will people be able to see my scar?,"The incision is small and made horizontally in a natural skin crease on the front of your neck. This helps it to heal in a very cosmetic way. Over the course of a year, the incision will usually fade so that it is hardly noticeable to anyone."
cervical disc replacement,About the Procedure,What happens if I wait and don't have the surgery?,- What are the risks of postponing this surgery? <br>- Can my neck problem get worse without the operation? <br>- Is it dangerous to wait to have this done? <br>- What if I decide against surgery for now? <br>- Are there consequences to delaying the procedure?,"If a disc is compressing your nerves or spinal cord, waiting can allow that pressure to cause more permanent damage. This could lead to worsening pain, increased numbness, or progressive weakness in your arms and hands that may not be reversible later on."
cervical disc replacement,The Implant,How does the artificial disc actually move?,- What makes the implant bend? <br>- Is there a hinge inside the disc? <br>- Can you explain the mechanics of the implant? <br>- What allows the disc to preserve motion? <br>- How does the device work?,"The implant is typically made of two metal endplates that anchor to your vertebrae and a medical-grade plastic core that sits between them. This core allows the metal plates to glide and rotate smoothly against each other, mimicking the natural bending, flexing, and turning of a healthy disc."
cervical disc replacement,The Implant,Can the implant be seen on an X-ray?,- Will the artificial disc show up on an X-ray? <br>- How do you check the implant after surgery? <br>- Is the device visible on imaging? <br>- Can you see the disc on an MRI? <br>- How do you monitor the implant?,"Yes, the metal components of the artificial disc are clearly visible on an x-ray. This is very helpful for us, as it allows us to check the position and, most importantly, the motion of the implant at your follow-up appointments to ensure it's working perfectly."
cervical disc replacement,The Implant,What happens if I need an MRI in the future?,- Is it safe to get an MRI with this implant? <br>- Will the artificial disc affect an MRI scan? <br>- Can I have an MRI of my brain or shoulder later? <br>- Are there any restrictions on future imaging? <br>- Is the implant MRI-compatible?,"Yes, the materials used in modern artificial discs are MRI-compatible. You can safely have an MRI of your neck or any other part of your body in the future. The metal may cause some distortion on the images immediately around the implant, but it does not pose a danger."
cervical disc replacement,The Surgery,Will I be awake during the surgery?,- What kind of anesthesia is used? <br>- Will I be put to sleep for the operation? <br>- Can I have this done with just a nerve block? <br>- How are you going to make sure I don't feel anything? <br>- Is general anesthesia required?,"No, you will be completely and comfortably asleep under general anesthesia. You will not feel or remember anything about the procedure. Our expert anesthesia team will be with you the entire time, monitoring you closely to ensure your safety."
cervical disc replacement,The Surgery,Will you be using a microscope?,- How do you see what you're doing in my neck? <br>- Do you use magnification for this surgery? <br>- What tools do you use to protect the nerves? <br>- How can you be so precise? <br>- Is this a microsurgery?,"Yes, I perform this surgery using a high-powered operating microscope. This provides a magnified, well-lit view of the delicate structures of your spine, including your spinal cord and nerves. This allows me to work with extreme precision and safety."
cervical disc replacement,The Surgery,Will I need a blood transfusion?,- Is it common to need blood for this surgery? <br>- How much blood is typically lost? <br>- Should I donate my own blood beforehand? <br>- What are the chances I'll need a transfusion? <br>- Is bleeding a major concern?,"It is very unusual to need a blood transfusion for this procedure. The surgery is done through a small incision and the blood loss is typically minimal. We do not expect you to require any blood products, but we will have you sign a consent form in the rare event of a life-threatening emergency."
cervical disc replacement,Risks & Complications,Could the surgery make my pain worse?,- Is it possible my symptoms could be worse after the operation? <br>- What if the surgery doesn't work? <br>- Can a disc replacement fail to relieve pain? <br>- Is there a chance I'll be in more pain afterward? <br>- What is the likelihood of the pain not improving?,"While the goal is to relieve your symptoms, there is a very small chance that the pain may not improve or could temporarily worsen due to nerve inflammation after being decompressed. However, the vast majority of patients experience a significant improvement in their arm pain and nerve-related symptoms."
cervical disc replacement,Risks & Complications,What happens if my bones are too soft for the implant?,- Could my bones be too weak for a replacement? <br>- What if I have osteoporosis? <br>- Can the implant sink into the bone? <br>- How do you know my bones are strong enough? <br>- Is bone quality a factor in this surgery?,"That's an excellent question. We evaluate your bone quality on your pre-operative imaging. Disc replacement relies on strong bone for the implant to anchor into. If there is significant osteoporosis or the bone is too soft, a fusion, which doesn't rely on the same type of fixation, might be a safer and more reliable option."
cervical disc replacement,Preparation,Do I need to get any special tests before surgery?,- What is a pre-op workup? <br>- Will I need blood work or an EKG? <br>- What kind of medical clearance do I need? <br>- Are there any tests I have to do before the operation? <br>- What does pre-testing involve?,"Yes, before your surgery, we will have you get some standard pre-operative tests, which may include blood work, a urinalysis, an EKG, and a chest X-ray. This is to ensure you are in the best possible health for anesthesia and the procedure itself."
cervical disc replacement,Preparation,What should I do the morning of my surgery?,- Are there any instructions for the day of the operation? <br>- How should I get ready on surgery day? <br>- What is the morning routine before coming to the hospital? <br>- Can I take my regular morning medicine? <br>- Should I shower on the morning of surgery?,"You can shower the morning of your surgery. You should not eat or drink anything after midnight the night before. The anesthesia team will give you specific instructions about which of your regular medications, like blood pressure pills, you should take with a small sip of water."
cervical disc replacement,After Surgery & Recovery,How much pain will I be in when I wake up?,- Is the recovery very painful? <br>- What is the post-op pain like? <br>- How bad does it hurt right after the operation? <br>- What should I expect for pain immediately after surgery? <br>- Will I be on strong pain medicine?,"You will wake up with some pain at the incision site and a sore throat, which is normal. Many patients notice their arm pain is gone right away. We will have a variety of medications available, including IV pain medicine and muscle relaxants, to keep you as comfortable as possible."
cervical disc replacement,After Surgery & Recovery,Will I have pain between my shoulder blades?,- Why does my upper back hurt after neck surgery? <br>- Is shoulder blade pain a normal side effect? <br>- What causes the pain between my shoulders? <br>- How long will my shoulder blades ache? <br>- Is it common to have this kind of pain?,"Yes, it is very common to have an aching pain between your shoulder blades. When we remove the old disc and place the new implant, we are restoring the normal height of that space. This can stretch the muscles and ligaments in your neck, and that feeling is often referred to between the shoulder blades. It will gradually improve over a few weeks."
cervical disc replacement,After Surgery & Recovery,Can I take Advil or Motrin after the surgery?,- Is it okay to take anti-inflammatory medicine for pain? <br>- When can I start taking NSAIDs again? <br>- Which pain relievers are safe after a disc replacement? <br>- Can I take ibuprofen for muscle soreness? <br>- Are there any medicines I should avoid?,"Yes, this is another major advantage over fusion. Because we are not trying to get bone to heal, you are allowed to take anti-inflammatory medications like Ibuprofen (Advil, Motrin) and Naproxen (Aleve) after the surgery to help with pain and soreness."
cervical disc replacement,After Surgery & Recovery,When can I go up and down stairs?,- Are stairs okay to do after I get home? <br>- Will I be able to use the stairs in my house? <br>- Are there any restrictions on climbing stairs? <br>- Is it safe to use stairs right away? <br>- Do I need help with stairs?,"Yes, you can use stairs as soon as you get home. We just advise you to take them slowly and use a handrail for stability. There are no specific restrictions against using stairs."
cervical disc replacement,After Surgery & Recovery,How long will I need to take the strong pain pills?,- How long will I be on narcotics? <br>- When can I switch to just Tylenol or Advil? <br>- Do most people need the prescription pain medicine for long? <br>- What is the typical duration for taking narcotics? <br>- How long until I'm off the pain meds?,Most patients only need the narcotic pain medication for a few days up to a week. The goal is to transition to over-the-counter medications like Tylenol or anti-inflammatories as soon as your pain allows.
cervical disc replacement,After Surgery & Recovery,"What does ""avoid extremes of motion"" mean?",- Can you give me examples of movements to avoid? <br>- How much can I move my neck? <br>- What kind of neck movements are not allowed? <br>- Should I try to keep my neck still? <br>- How careful do I need to be?,"It means you should avoid forcing your neck into uncomfortable positions. For the first few weeks, avoid looking all the way up to the ceiling or trying to touch your chin to your chest. Gentle, normal day-to-day movements are perfectly fine and encouraged."
